workerid,proliferate.condition,order,response,slide_number_in_experiment,tgrep_id,error
19,condition1,all-a-the-some,"['some', False]",13,61578:4,
19,condition1,all-a-the-some,"['all', False]",14,37508:7,
19,condition1,all-a-the-some,"['some', False]",15,102105:4,
19,condition1,all-a-the-some,"['some', False]",16,118088:9,
19,condition1,all-a-the-some,"['all', False]",17,103191:13,
8,condition1,,"['Patricia', 'Patricia']",1,bot_check,
8,condition1,a-some-the-all,"['a', False]",3,example1,
8,condition1,a-some-the-all,"['a', False]",3,example1,
8,condition1,a-some-the-all,"['all', False]",3,example1,
8,condition1,a-some-the-all,"['some', False]",4,example2,
8,condition1,a-some-the-all,"['some', False]",5,example1,
8,condition1,a-some-the-all,"['some', True]",5,example1,
8,condition1,a-some-the-all,"['the', True]",5,example1,
8,condition1,a-some-the-all,"['a', True]",5,example1,
8,condition1,a-some-the-all,"['a', False]",5,example1,
8,condition1,a-some-the-all,"['some', False]",5,example1,
8,condition1,a-some-the-all,"['the', False]",5,example1,
8,condition1,a-some-the-all,"['all', False]",5,example1,
8,condition1,a-some-the-all,"['the', False]",6,example4,
8,condition1,a-some-the-all,"['all', False]",8,60430:4,
8,condition1,a-some-the-all,"['some', False]",9,102105:4,
8,condition1,a-some-the-all,"['all', True]",10,103191:13,
8,condition1,a-some-the-all,"['all', False]",11,130644:22,
8,condition1,a-some-the-all,"['the', False]",12,40349:14,
8,condition1,a-some-the-all,"['a', False]",13,51293:9,
8,condition1,a-some-the-all,"['the', False]",14,61578:4,
8,condition1,a-some-the-all,"['a', False]",15,68569:4,
8,condition1,a-some-the-all,"['some', False]",16,118088:9,
8,condition1,a-some-the-all,"['all', False]",17,37508:7,
25,condition1,,"['Margaret', 'Margaret']",1,bot_check,
25,condition1,some-a-all-the,"['some', False]",3,example1,
25,condition1,some-a-all-the,"['some', False]",3,example1,
25,condition1,some-a-all-the,"['some', True]",3,example1,
25,condition1,some-a-all-the,"['a', False]",3,example1,
25,condition1,some-a-all-the,"['a', False]",3,example1,
25,condition1,some-a-all-the,"['a', False]",3,example1,
25,condition1,some-a-all-the,"['a', False]",3,example1,
25,condition1,some-a-all-the,"['the', False]",3,example1,
25,condition1,some-a-all-the,"['the', False]",3,example1,
25,condition1,some-a-all-the,"['the', False]",3,example1,
25,condition1,some-a-all-the,"['the', False]",3,example1,
25,condition1,some-a-all-the,"['all', False]",3,example1,
25,condition1,some-a-all-the,"['some', False]",4,example2,
25,condition1,some-a-all-the,"['some', False]",5,example1,
25,condition1,some-a-all-the,"['all', False]",5,example1,
25,condition1,some-a-all-the,"['a', False]",6,example4,
25,condition1,some-a-all-the,"['a', False]",8,37508:7,
25,condition1,some-a-all-the,"['all', False]",9,61578:4,
25,condition1,some-a-all-the,"['the', False]",10,68569:4,
25,condition1,some-a-all-the,"['all', False]",11,118088:9,
25,condition1,some-a-all-the,"['some', False]",12,130644:22,
25,condition1,some-a-all-the,"['a', False]",13,103191:13,
25,condition1,some-a-all-the,"['all', False]",14,40349:14,
25,condition1,some-a-all-the,"['the', False]",15,60430:4,
25,condition1,some-a-all-the,"['a', False]",16,102105:4,
25,condition1,some-a-all-the,"['the', False]",17,51293:9,
10,condition1,,"['Linda', 'Linda']",1,bot_check,
10,condition1,some-a-the-all,"['all', False]",3,example1,
10,condition1,some-a-the-all,"['a', False]",4,example2,
10,condition1,some-a-the-all,"['all', False]",5,example1,
10,condition1,some-a-the-all,"['the', False]",6,example4,
10,condition1,some-a-the-all,"['all', True]",8,130644:22,
10,condition1,some-a-the-all,"['the', True]",9,40349:14,
10,condition1,some-a-the-all,"['the', False]",10,61578:4,
10,condition1,some-a-the-all,"['the', False]",11,118088:9,
10,condition1,some-a-the-all,"['all', False]",12,60430:4,
10,condition1,some-a-the-all,"['the', False]",13,37508:7,
10,condition1,some-a-the-all,"['the', False]",14,51293:9,
10,condition1,some-a-the-all,"['all', False]",15,103191:13,
10,condition1,some-a-the-all,"['some', False]",16,102105:4,
10,condition1,some-a-the-all,"['the', False]",17,68569:4,
18,condition1,,"['Patricia', 'Patricia']",1,bot_check,
18,condition1,a-the-some-all,"['all', False]",3,example1,
18,condition1,a-the-some-all,"['a', False]",4,example2,
18,condition1,a-the-some-all,"['all', False]",5,example1,
18,condition1,a-the-some-all,"['the', False]",6,example4,
18,condition1,a-the-some-all,"['a', True]",8,103191:13,
18,condition1,a-the-some-all,"['a', True]",9,68569:4,
18,condition1,a-the-some-all,"['a', True]",10,37508:7,
18,condition1,a-the-some-all,"['a', True]",11,40349:14,
18,condition1,a-the-some-all,"['a', True]",12,118088:9,
18,condition1,a-the-some-all,"['a', True]",13,60430:4,
18,condition1,a-the-some-all,"['all', True]",14,61578:4,
18,condition1,a-the-some-all,"['a', True]",15,102105:4,
18,condition1,a-the-some-all,"['a', False]",16,51293:9,
18,condition1,a-the-some-all,"['a', True]",17,130644:22,
5,condition1,,"['sarah', 'Sarah']",1,bot_check,
5,condition1,a-some-the-all,"['some', False]",3,example1,
5,condition1,a-some-the-all,"['all', False]",3,example1,
5,condition1,a-some-the-all,"['a', False]",4,example2,
5,condition1,a-some-the-all,"['all', False]",5,example1,
5,condition1,a-some-the-all,"['the', False]",6,example4,
5,condition1,a-some-the-all,"['some', True]",8,102105:4,
5,condition1,a-some-the-all,"['a', True]",9,61578:4,
5,condition1,a-some-the-all,"['a', False]",10,68569:4,
5,condition1,a-some-the-all,"['the', False]",11,51293:9,
5,condition1,a-some-the-all,"['all', True]",12,103191:13,
5,condition1,a-some-the-all,"['the', False]",13,118088:9,
5,condition1,a-some-the-all,"['the', True]",14,40349:14,
5,condition1,a-some-the-all,"['all', False]",15,60430:4,
5,condition1,a-some-the-all,"['some', False]",16,130644:22,
5,condition1,a-some-the-all,"['some', False]",17,37508:7,
14,condition1,,"['Elizabeth', 'Elizabeth']",1,bot_check,
14,condition1,all-some-the-a,"['some', False]",3,example1,
14,condition1,all-some-the-a,"['some', False]",3,example1,
14,condition1,all-some-the-a,"['some', False]",3,example1,
14,condition1,all-some-the-a,"['all', False]",3,example1,
14,condition1,all-some-the-a,"['a', False]",4,example2,
14,condition1,all-some-the-a,"['all', False]",5,example1,
14,condition1,all-some-the-a,"['the', False]",6,example4,
14,condition1,all-some-the-a,"['some', False]",8,102105:4,
14,condition1,all-some-the-a,"['all', False]",9,60430:4,
14,condition1,all-some-the-a,"['the', False]",10,61578:4,
14,condition1,all-some-the-a,"['some', False]",11,40349:14,
14,condition1,all-some-the-a,"['a', False]",12,103191:13,
14,condition1,all-some-the-a,"['the', False]",13,51293:9,
14,condition1,all-some-the-a,"['a', False]",14,130644:22,
14,condition1,all-some-the-a,"['the', False]",15,118088:9,
14,condition1,all-some-the-a,"['the', False]",16,37508:7,
14,condition1,all-some-the-a,"['the', False]",17,68569:4,
24,condition1,,"['Sarah', 'Sarah']",1,bot_check,
24,condition1,the-a-some-all,"['the', False]",3,example1,
24,condition1,the-a-some-all,"['the', False]",3,example1,
24,condition1,the-a-some-all,"['all', False]",3,example1,
24,condition1,the-a-some-all,"['some', False]",4,example2,
24,condition1,the-a-some-all,"['all', False]",5,example1,
24,condition1,the-a-some-all,"['the', False]",6,example4,
24,condition1,the-a-some-all,"['the', False]",8,51293:9,
24,condition1,the-a-some-all,"['all', True]",9,103191:13,
24,condition1,the-a-some-all,"['all', False]",10,68569:4,
24,condition1,the-a-some-all,"['a', False]",11,102105:4,
24,condition1,the-a-some-all,"['the', True]",12,37508:7,
24,condition1,the-a-some-all,"['all', False]",13,61578:4,
24,condition1,the-a-some-all,"['all', True]",14,60430:4,
24,condition1,the-a-some-all,"['the', True]",15,130644:22,
24,condition1,the-a-some-all,"['some', True]",16,40349:14,
24,condition1,the-a-some-all,"['some', False]",17,118088:9,
29,condition1,,"['Elizabeth', 'Elizabeth']",1,bot_check,
29,condition1,all-the-a-some,"['the', False]",3,example1,
29,condition1,all-the-a-some,"['the', False]",3,example1,
29,condition1,all-the-a-some,"['the', False]",3,example1,
29,condition1,all-the-a-some,"['the', True]",3,example1,
29,condition1,all-the-a-some,"['the', True]",3,example1,
29,condition1,all-the-a-some,"['all', False]",3,example1,
29,condition1,all-the-a-some,"['some', False]",4,example2,
29,condition1,all-the-a-some,"['all', False]",5,example1,
29,condition1,all-the-a-some,"['a', False]",6,example4,
29,condition1,all-the-a-some,"['some', False]",8,103191:13,
29,condition1,all-the-a-some,"['all', False]",9,118088:9,
29,condition1,all-the-a-some,"['the', False]",10,61578:4,
29,condition1,all-the-a-some,"['some', False]",11,37508:7,
29,condition1,all-the-a-some,"['a', False]",12,60430:4,
29,condition1,all-the-a-some,"['some', False]",13,40349:14,
29,condition1,all-the-a-some,"['the', False]",14,102105:4,
29,condition1,all-the-a-some,"['the', False]",15,68569:4,
29,condition1,all-the-a-some,"['the', False]",16,51293:9,
29,condition1,all-the-a-some,"['the', False]",17,130644:22,
13,condition1,,"['Susan', 'Susan']",1,bot_check,
13,condition1,the-some-a-all,"['the', False]",3,example1,
13,condition1,the-some-a-all,"['all', False]",3,example1,
13,condition1,the-some-a-all,"['some', False]",4,example2,
13,condition1,the-some-a-all,"['all', False]",5,example1,
13,condition1,the-some-a-all,"['the', False]",6,example4,
13,condition1,the-some-a-all,"['all', False]",8,37508:7,
13,condition1,the-some-a-all,"['some', False]",9,103191:13,
13,condition1,the-some-a-all,"['all', False]",10,118088:9,
13,condition1,the-some-a-all,"['some', False]",11,102105:4,
13,condition1,the-some-a-all,"['some', False]",12,130644:22,
13,condition1,the-some-a-all,"['the', False]",13,40349:14,
13,condition1,the-some-a-all,"['the', False]",14,51293:9,
13,condition1,the-some-a-all,"['all', False]",15,61578:4,
13,condition1,the-some-a-all,"['a', True]",16,60430:4,
13,condition1,the-some-a-all,"['the', False]",17,68569:4,
16,condition1,,"['Sarah', 'Sarah']",1,bot_check,
16,condition1,some-all-the-a,"['all', False]",3,example1,
16,condition1,some-all-the-a,"['some', False]",4,example2,
16,condition1,some-all-the-a,"['all', False]",5,example1,
16,condition1,some-all-the-a,"['the', False]",6,example4,
16,condition1,some-all-the-a,"['a', False]",8,130644:22,
16,condition1,some-all-the-a,"['the', False]",9,51293:9,
16,condition1,some-all-the-a,"['some', False]",10,68569:4,
16,condition1,some-all-the-a,"['some', False]",11,60430:4,
16,condition1,some-all-the-a,"['some', False]",12,37508:7,
16,condition1,some-all-the-a,"['a', False]",13,103191:13,
16,condition1,some-all-the-a,"['some', False]",14,40349:14,
16,condition1,some-all-the-a,"['the', False]",15,102105:4,
16,condition1,some-all-the-a,"['the', False]",16,118088:9,
16,condition1,some-all-the-a,"['the', False]",17,61578:4,
32,condition1,,"['Linda', 'Linda']",1,bot_check,
32,condition1,some-all-the-a,"['a', False]",3,example1,
32,condition1,some-all-the-a,"['all', False]",3,example1,
32,condition1,some-all-the-a,"['a', False]",4,example2,
32,condition1,some-all-the-a,"['all', False]",5,example1,
32,condition1,some-all-the-a,"['the', False]",6,example4,
32,condition1,some-all-the-a,"['the', True]",8,60430:4,
32,condition1,some-all-the-a,"['all', False]",9,130644:22,
32,condition1,some-all-the-a,"['a', False]",10,102105:4,
32,condition1,some-all-the-a,"['the', False]",11,61578:4,
32,condition1,some-all-the-a,"['the', False]",12,118088:9,
32,condition1,some-all-the-a,"['a', False]",13,40349:14,
32,condition1,some-all-the-a,"['a', False]",14,103191:13,
32,condition1,some-all-the-a,"['all', False]",15,68569:4,
32,condition1,some-all-the-a,"['the', False]",16,51293:9,
32,condition1,some-all-the-a,"['a', False]",17,37508:7,
20,condition1,,"['Mary', 'Mary']",1,bot_check,
20,condition1,all-a-some-the,"['a', False]",3,example1,
20,condition1,all-a-some-the,"['all', False]",3,example1,
20,condition1,all-a-some-the,"['some', False]",4,example2,
20,condition1,all-a-some-the,"['all', False]",5,example1,
20,condition1,all-a-some-the,"['a', False]",6,example4,
20,condition1,all-a-some-the,"['some', False]",8,40349:14,
20,condition1,all-a-some-the,"['some', False]",9,68569:4,
20,condition1,all-a-some-the,"['some', False]",10,60430:4,
20,condition1,all-a-some-the,"['some', False]",11,130644:22,
20,condition1,all-a-some-the,"['a', False]",12,102105:4,
20,condition1,all-a-some-the,"['some', True]",13,103191:13,
20,condition1,all-a-some-the,"['the', False]",14,51293:9,
20,condition1,all-a-some-the,"['some', False]",15,37508:7,
20,condition1,all-a-some-the,"['the', False]",16,118088:9,
20,condition1,all-a-some-the,"['some', False]",17,61578:4,
28,condition1,,"['Susan', 'Susan']",1,bot_check,
28,condition1,all-a-some-the,"['the', False]",3,example1,
28,condition1,all-a-some-the,"['a', False]",3,example1,
28,condition1,all-a-some-the,"['a', False]",3,example1,
28,condition1,all-a-some-the,"['all', False]",3,example1,
28,condition1,all-a-some-the,"['a', False]",4,example2,
28,condition1,all-a-some-the,"['all', False]",5,example1,
28,condition1,all-a-some-the,"['a', False]",6,example4,
28,condition1,all-a-some-the,"['a', False]",8,118088:9,
28,condition1,all-a-some-the,"['a', False]",9,40349:14,
28,condition1,all-a-some-the,"['a', False]",10,68569:4,
28,condition1,all-a-some-the,"['a', False]",11,103191:13,
28,condition1,all-a-some-the,"['a', False]",12,60430:4,
28,condition1,all-a-some-the,"['a', False]",13,102105:4,
28,condition1,all-a-some-the,"['a', False]",14,130644:22,
28,condition1,all-a-some-the,"['the', False]",15,37508:7,
28,condition1,all-a-some-the,"['the', False]",16,51293:9,
28,condition1,all-a-some-the,"['the', False]",17,61578:4,
41,condition1,,"['Elizabeth', 'Elizabeth']",1,bot_check,
41,condition1,a-some-all-the,"['a', False]",3,example1,
41,condition1,a-some-all-the,"['a', False]",3,example1,
41,condition1,a-some-all-the,"['a', False]",3,example1,
41,condition1,a-some-all-the,"['a', True]",3,example1,
41,condition1,a-some-all-the,"['a', False]",3,example1,
41,condition1,a-some-all-the,"['the', False]",3,example1,
41,condition1,a-some-all-the,"['all', False]",3,example1,
41,condition1,a-some-all-the,"['some', False]",4,example2,
41,condition1,a-some-all-the,"['all', False]",5,example1,
41,condition1,a-some-all-the,"['a', False]",6,example4,
41,condition1,a-some-all-the,"['the', False]",8,118088:9,
41,condition1,a-some-all-the,"['a', False]",9,40349:14,
41,condition1,a-some-all-the,"['the', False]",10,37508:7,
41,condition1,a-some-all-the,"['the', False]",11,61578:4,
41,condition1,a-some-all-the,"['the', False]",12,102105:4,
41,condition1,a-some-all-the,"['a', False]",13,60430:4,
41,condition1,a-some-all-the,"['some', False]",14,103191:13,
41,condition1,a-some-all-the,"['the', False]",15,130644:22,
41,condition1,a-some-all-the,"['the', False]",16,68569:4,
41,condition1,a-some-all-the,"['the', False]",17,51293:9,
40,condition1,,"['Patricia', 'Patricia']",1,bot_check,
40,condition1,some-a-the-all,"['a', False]",3,example1,
40,condition1,some-a-the-all,"['all', False]",3,example1,
40,condition1,some-a-the-all,"['a', False]",4,example2,
40,condition1,some-a-the-all,"['some', False]",5,example1,
40,condition1,some-a-the-all,"['all', False]",5,example1,
40,condition1,some-a-the-all,"['the', False]",6,example4,
40,condition1,some-a-the-all,"['the', False]",8,118088:9,
40,condition1,some-a-the-all,"['a', False]",9,68569:4,
40,condition1,some-a-the-all,"['some', False]",10,130644:22,
40,condition1,some-a-the-all,"['a', False]",11,37508:7,
40,condition1,some-a-the-all,"['all', False]",12,60430:4,
40,condition1,some-a-the-all,"['the', False]",13,102105:4,
