"","X","Item_ID","Sentence","ModalPresent","Finite","QuestionType","DegreeQ","SubjectAuxInv","WhAll","QuantifiedSubject","QuantifiedPredicate","Wh","MatVerb","MatVerbPart","Modal","Verb1","Verb2","DeterminerSubject","DeterminerNonSubject","FullWhPhrase","WhNode","WhParse","Question","SentenceParse","WhPhaseType"
"17",17,"158994:4","what are you studying *t*-1 down there?","no","yes","root","no","yes",NA,"","","","","",NA,"are","","","","",NA,"(WP What)","what are you studying *t*-1 down there?","(TOP (SBARQ (WHNP-1 (WP What)) (SQ (VBP are) (NP-SBJ (PRP you)) (VP (VBG studying) (NP (-NONE- *T*-1)) (PP-LOC (IN down) (ADVP (RB there))))) (. ?) (-DFL- E_S)))","monomorphemic"
"18",18,"26756:22","and you've a choice of where you want *-1 to go *t*-2.","no","yes","relative","no","",NA,"","","where","","",NA,"want","","","a","",NA,"(WRB where)","where you want *-1 to go *t*-2","(TOP (S (CC and) (NP-SBJ (PRP you)) (VP (VBP 've) (NP (NP (DT a) (NN choice)) (PP (IN of) (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ-1 (PRP you)) (VP (VBP want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB go) (ADVP-DIR (-NONE- *T*-2))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"19",19,"63740:135","i, i wonder about some of the prod-, products that they don't take *t*-1, like some of the plastics and things that they don't take *t*-2. uh, why, why they couldn't do more recycling with those *t*-3.","no","yes","embedded","no","",NA,"","more","why","wonder","",NA,"do","","","those","",NA,"(WRB why)","why, why they couldn't do more recycling with those *t*-3","(TOP (S (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBP wonder) (PP (IN about) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (EDITED (RM (-DFL- \[)) (NNS prod-) (, ,) (IP (-DFL- \+))) (NNS products) (RS (-DFL- \]))) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (PRP they)) (VP (VBP do) (RB n't) (VP (VB take) (NP (-NONE- *T*-1)))))) (, ,) (PP (IN like) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (NNS plastics) (CC and) (NNS things)) (SBAR (WHNP-2 (WDT that)) (S (NP-SBJ (PRP they)) (VP (VBP do) (RB n't) (VP (VB take) (NP (-NONE- *T*-2)))))))))))))) (. .) (INTJ (UH Uh)) (, ,) (SBAR (EDITED (RM (-DFL- \[)) (WHADVP (WRB why)) (, ,) (IP (-DFL- \+))) (WHADVP-3 (WRB why)) (RS (-DFL- \])) (S (NP-SBJ (PRP they)) (VP (MD could) (RB n't) (VP (VB do) (NP (JJR more) (NN recycling)) (PP (IN with) (NP (DT those))) (ADVP-PRP (-NONE- *T*-3))))))) (. .) (-DFL- E_S)))","monomorphemic"
"20",20,"136410:14","so, uh, what kind of home repair work have you done *t*-1?","no","yes","root","no","yes",NA,"","done","what","","",NA,"have","","","","what kind",NA,"(WDT what)","so, uh, what kind of home repair work have you done *t*-1?","(TOP (SBARQ (RB So) (, ,) (INTJ (UH uh)) (, ,) (WHNP-1 (WHNP (WDT what) (NN kind)) (PP (IN of) (NP (NN home) (NN repair) (NN work)))) (SQ (VBP have) (NP-SBJ (PRP you)) (VP (VBN done) (NP (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","complex"
"21",21,"82779:111","but i do not think 0 it is difficult enough * to prevent people who *t*-1 are motivated in the first place, who, or, who *t*-2 are not just motivated who *t*-3 really believe that their, they, their voice is heard *-4.","no","yes","relative","no","",NA,"","","who","difficult","",NA,"believe","","","the","",NA,"(WP who)","who *t*-3 really believe that their, they, their voice is heard *-4","(TOP (S (CC But) (NP-SBJ (PRP I)) (VP (VBP do) (RB not) (VP (VB think) (SBAR (-NONE- 0) (S (NP-SBJ (PRP it)) (VP (VBZ is) (ADJP-PRD (JJ difficult) (RB enough) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB prevent) (NP (NP (NNS people)) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP are) (ADJP-PRD (JJ motivated) (PP (IN in) (NP (DT the) (JJ first) (NN place))))))) (, ,) (SBAR (EDITED (RM (-DFL- \[)) (WHNP (WP who)) (IP (-DFL- \+)) (, ,) (CC or) (, ,)) (WHNP-2 (WP who)) (RS (-DFL- \])) (S (NP-SBJ (-NONE- *T*-2)) (VP (VBP are) (RB not) (ADVP (RB just)) (ADJP-PRD (JJ motivated))))) (SBAR (WHNP-3 (WP who)) (S (NP-SBJ (-NONE- *T*-3)) (ADVP (RB really)) (VP (VBP believe) (SBAR (IN that) (S (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-SBJ-UNF (PRP$ their)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP they)) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (NP-SBJ-4 (PRP$ their) (RS (-DFL- \])) (NN voice)) (VP (VBZ is) (VP (VBN heard) (NP (-NONE- *-4))))))))))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"22",22,"151342:68","and, you know, * being fair to the person, if the government doesn't prove its case, no matter how you feel *t*-1, you have *-2 to go by what *t*-3's offered *-4 as proof,","no","yes","subject","no","",NA,"","","how","","",NA,"feel","","the","the","",NA,"(WRB how)","how you feel *t*-1","(TOP (S (CC and) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (S-ADV (NP-SBJ (-NONE- *)) (VP (VBG being) (ADJP-PRD (JJ fair) (PP (IN to) (NP (DT the) (NN person)))))) (, ,) (SBAR-ADV (IN if) (S (NP-SBJ (DT the) (NN government)) (VP (VBZ does) (RB n't) (VP (VB prove) (NP (PRP$ its) (NN case)))))) (, ,) (ADVP (DT no) (NN matter) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (PRP you)) (VP (VBP feel) (ADVP-MNR (-NONE- *T*-1)))))) (, ,) (NP-SBJ-2 (PRP you)) (VP (VBP have) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB go) (PP (IN by) (SBAR-NOM (WHNP-3 (WP what)) (S (NP-SBJ-4 (-NONE- *T*-3)) (VP (BES 's) (VP (VBN offered) (NP (-NONE- *-4)) (PP (IN as) (NP (NN proof)))))))))))) (, ,) (-DFL- E_S)))","monomorphemic"
"23",23,"71768:54","i mean, they, they, they really know how *-2 to isolate each of the different muscle groups, with those things *t*-1","no","yes","embedded","no","",NA,"","","how","know","",NA,"isolate","","","each","",NA,"(WRB how)","how *-2 to isolate each of the different muscle groups, with those things *t*-1","(TOP (S (PRN (S (NP-SBJ (PRP I)) (VP (VBP mean))) (, ,)) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP they)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP they)) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (NP-SBJ-2 (PRP they)) (RS (-DFL- \])) (ADVP (RB really)) (VP (VBP know) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB isolate) (NP (NP (DT each)) (PP (IN of) (NP (DT the) (JJ different) (NN muscle) (NNS groups)))) (, ,) (PP (IN with) (NP (DT those) (NNS things))) (ADVP-MNR (-NONE- *T*-1))))))) (-DFL- E_S)))","monomorphemic"
"24",24,"81664:42","and we have a belt line alo-, around raleigh where we're trying *-1 to divert traffic *t*-2.","no","yes","relative","no","",NA,"","","where","","",NA,"'re","","","a","",NA,"(WRB where)","where we're trying *-1 to divert traffic *t*-2","(TOP (S (CC and) (NP-SBJ (PRP we)) (VP (VBP have) (NP (NP (DT a) (NN belt) (NN line)) (EDITED (RM (-DFL- \[)) (PP-UNF (XX alo-)) (, ,) (IP (-DFL- \+))) (PP-LOC (IN around) (RS (-DFL- \])) (NP (NNP Raleigh))) (SBAR-LOC (WHADVP-2 (WRB where)) (S (NP-SBJ-1 (PRP we)) (VP (VBP 're) (VP (VBG trying) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB divert) (NP (NN traffic))))) (ADVP-LOC (-NONE- *T*-2)))))))) (. .) (-DFL- E_S)))","monomorphemic"
"25",25,"40101:14","well, anybody who *t*-1 has david robinson, has got *-2 to have a chance anyway.","no","yes","relative","no","",NA,"","","who","","",NA,"has","","","a","",NA,"(WP who)","who *t*-1 has david robinson","(TOP (S (INTJ (UH Well)) (, ,) (NP-SBJ-2 (NP (NN anybody)) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBZ has) (NP (NNP David) (NNP Robinson)))))) (, ,) (VP (VBZ has) (VP (VBN got) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB have) (NP (DT a) (NN chance)) (ADVP (RB anyway))))))) (. .) (-DFL- E_S)))","monomorphemic"
"26",26,"85780:27","i think that they have a system where, uh, they, the government deals with the, with,","no","yes","relative","no","",NA,"","","where","think","",NA,"deals","","the","the","",NA,"(WRB where)","where, uh, they, the government deals with the, with","(TOP (S (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP-SBJ (PRP they)) (VP (VBP have) (NP (NP (DT a) (NN system)) (SBAR (WHADVP (WRB where)) (, ,) (INTJ (UH uh)) (, ,) (S (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP they)) (, ,) (IP (-DFL- \+))) (NP-SBJ (DT the) (NN government)) (RS (-DFL- \])) (VP (VBZ deals) (EDITED (RM (-DFL- \[)) (PP (IN with) (NP-UNF (DT the))) (, ,) (IP (-DFL- \+))) (PP-UNF (IN with)))))))))) (, ,) (RS (-DFL- \])) (-DFL- N_S)))","monomorphemic"
"27",27,"129916:17","ooh, for those who *t*-1 are really cooperating.","no","yes","relative","no","",NA,"","really","who","","",NA,"are","","","","",NA,"(WP who)","who *t*-1 are really cooperating","(TOP (FRAG (INTJ (UH Ooh)) (, ,) (PP (IN for) (NP (NP (DT those)) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP are) (ADVP (RB really)) (VP (VBG cooperating))))))) (. .) (-DFL- E_S)))","monomorphemic"
"28",28,"155918:16","so. that's where i, i, i'm like,","no","yes","embedded","no","",NA,"","","where","","",NA,"'m","","that","","",NA,"(WRB where)","where i, i, i'm like","(TOP (S (INTJ (UH so)) (. .) (NP-SBJ (DT That)) (VP (BES 's) (SBAR-LOC-PRD (WHADVP (WRB where)) (S (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (VP-UNF (VBP 'm) (RS (-DFL- \])) (INTJ (IN like)))))) (, ,) (-DFL- N_S)))","monomorphemic"
"29",29,"80275:22","oh, i, when i did ride my friend's bike, that one time *t*-1, i had, uh, i don't know what i was trying *-2 to do *t*-3.","no","yes","subject","no","",NA,"","one","when","","",NA,"did","","","that","",NA,"(WRB when)","when i did ride my friend's bike, that one time *t*-1","(TOP (S (INTJ (UH Oh)) (, ,) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBD did) (VP (VB ride) (NP (NP (PRP$ my) (NN friend) (POS 's)) (NN bike)) (, ,) (NP-TMP (DT that) (CD one) (NN time)) (ADVP-TMP (-NONE- *T*-1)))))) (, ,) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP I)) (VP-UNF (VBD had))) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (RS (-DFL- \])) (SBAR (WHNP-3 (WP what)) (S (NP-SBJ-2 (PRP I)) (VP (VBD was) (VP (VBG trying) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-3))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"30",30,"630:19","i'm not sure exactly where dances with wolves was filmed *-1 *t*-2.","no","yes","embedded","no","",NA,"","","where","'m","",NA,"dances","","","","",NA,"(WRB where)","exactly where dances with wolves was filmed *-1 *t*-2","(TOP (S (NP-SBJ (PRP I)) (VP (VBP 'm) (RB not) (ADJP-PRD (JJ sure)) (SBAR-LOC (ADVP (RB exactly)) (WHADVP-2 (WRB where)) (S (VP-TTL-SBJ-1 (VB DANCES) (PP (IN WITH) (NP (NNS WOLVES)))) (VP (VBD was) (VP (VBN filmed) (NP (-NONE- *-1)) (ADVP-LOC (-NONE- *T*-2))))))) (. .) (-DFL- E_S)))","monomorphemic"
"31",31,"14171:4","what weekly, um, magazine do you look at *t*-1,","no","yes","root","yes","yes",NA,"","","","","",NA,"do","","","","what weekly, um, magazine",NA,"(WDT What)","what weekly, um, magazine do you look at *t*-1,","(TOP (SBARQ (WHNP-1 (WDT What) (JJ weekly) (, ,) (INTJ (UH um)) (, ,) (NN magazine)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB look) (PP (IN at) (NP (-NONE- *T*-1))))) (, ,) (-DFL- E_S)))","complex"
"32",32,"109291:66","but the trucks that *t*-1 were supposed * to do it, there's been some problems with *t*-4 from what i've read *t*-3 in, you know, the mail that we get *t*-2","no","yes","subject","no","",NA,"","","what","","been",NA,"'ve","","","the","",NA,"(WP what)","what i've read *t*-3 in, you know, the mail that we get *t*-2","(TOP (S (CC but) (NP-TPC-4 (NP (DT the) (NNS trucks)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBD were) (VP (VBN supposed) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (PRP it)))))))))) (, ,) (NP-SBJ (EX there)) (VP (HVS 's) (VP (VBN been) (NP-PRD (NP (DT some) (NNS problems)) (PP (IN with) (NP (-NONE- *T*-4)))) (PP (IN from) (SBAR (WHNP-3 (WP what)) (S (NP-SBJ (PRP I)) (VP (VBP 've) (VP (VBN read) (NP (-NONE- *T*-3)) (PP-LOC (IN in) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (NP (NP (DT the) (NN mail)) (SBAR (WHNP-2 (WDT that)) (S (NP-SBJ (PRP we)) (VP (VBP get) (NP (-NONE- *T*-2)))))))))))))) (-DFL- E_S)))","monomorphemic"
"33",33,"91987:39","but we were pretty convinced 0 he was a full, hermit who *t*-1 lived up in, the woods, that he'd come in his little log boat down the river,","no","yes","relative","no","",NA,"","","who","convinced","",NA,"lived","","","the","",NA,"(WP who)","who *t*-1 lived up in, the woods","(TOP (S (CC but) (NP-SBJ (PRP we)) (VP (VBD were) (ADJP-PRD (RB pretty) (JJ convinced) (SBAR (SBAR (-NONE- 0) (S (NP-SBJ (PRP he)) (VP (VBD was) (NP-PRD (NP (DT a) (JJ full) (, ,) (NN hermit)) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBD lived) (PP-LOC (IN up) (PP (IN in) (, ,) (NP (DT the) (NNS woods))))))))))) (, ,) (SBAR (WDT that) (S (NP-SBJ (PRP he)) (VP (MD 'd) (VP (VB come) (PP-LOC (IN in) (NP (PRP$ his) (JJ little) (NN log) (NN boat))) (PP-DIR (IN down) (NP (DT the) (NN river)))))))))) (, ,) (-DFL- E_S)))","monomorphemic"
