TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
100252:39	and we can't see her often enough *-1 to really know what *t*-2's going on.	###well, she stayed, she stayed in a temporary nursing home. until she was okay.###speakerb108.###oh.###speakera109.###you know, it's just,###but it's frightening to us because we live pretty far from her.###she's down in temple###speakerb110.###uh-huh.###speakera111.	what	no	what *t*-2's going on	...what is a thing...	...what is every thing...	...what is the thing...	
147597:18	but they wouldn't know what they're doing *t*-1.	###right.###that's a shame.###speakerb50.###especially black women.###speakera51.###yes.###speakerb52.###so.###speakera53.###yeah.	what	no	what they're doing *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
53408:43	you know, i'll look over my husband's shoulder and see what *t*-1's going on.	###oh yeah.###speakera7.###i only get the newspaper on the weekends###so,###speakerb8.###oh, uh-huh.###oh, i don't even have, ge-, time 0 *-1 to read the newspaper except in *-2 passing *t*-3,###speakera9.###uh-huh.###speakerb10.	what	no	what *t*-1's going on	...what is a thing...	...what is every thing...	...what is the thing...	
19512:11	nobody knows what * to do *t*-1.	###well, uh, i, i guess, 0 what they'd have *-1 to do *t*-2 * to,###i really don't know, you know,### in, in the, in, you know,###i hope that what *t*-1's happening is exactly the way 0 it appears *t*-2.###speakera105.###uh-huh.###speakerb106.###you know, some reason or other, you know, is, uh,###it *exp*-2's kind of a strange thing 0 we've been trying *-1 to make something like this happen for so long that when it finally happens *t*-3 you say, whoa, * wait a minute,###speakera107.	what	no	what * to do *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
90979:30	though i would put it on my resume, what program i went to *t*-1.	###speakera79.###but i think,###yeah,###see, i'm, i'm at the university of maryland,###so in this, this region, um, though i go to a smaller branch of the university of maryland,###my diploma will still say university of maryland.###speakerb80.###oh.###speakera81.###um, you know, it doesn't, doesn't differentiate on my diploma,	what	no	what program i went to *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
111353:11	i know what you mean *t*-1.	###so i went to a, a pet shop,###and i saw these little springer spaniels###speakerb45.###um.###speakera46.###and so i decided, well, you know, this would really be a nice dog 0 * to have *t*-1,###so, when i got back home to carney, nebraska *t*-1, i told my wife about it,###and i said, you know, this is just a,### i, i, i can just hear the dog crying for me now.###speakerb47.	what	no	what you mean *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
66470:66	and, and, you know, after the trial was over he came home and told us what *t*-1 was going on	###last 0 i heard *t*-1, he, uh, he beat a push for the death penalty.###now whether they finally got it or not, i don't know *t*-1.###speakerb80.###uh-huh.###speakera81.###i kind of, uh, stopped *-1 listening after a while.###speakerb82.###uh-huh.###speakera83.###um, you know, he would come home	what	no	what *t*-1 was going on	...what is a thing...	...what is every thing...	...what is the thing...	
16313:21	i think 0 i know what you're talk-,	###and i get the milk lukewarm###and then i pour about a half a cup of cornstarch in it###and i have this thing###it's called *-1 the slender blender,### it, it makes the, uh, it makes, uh, a whip topping out of milk if you get the milk cold enough.###it's, uh,###i don't know,###they're called *-1 moo goo leaves or something###they're sl-,###speakerb70.	what	no	what you're talk-	...what is a thing...	...what is every thing...	...what is the thing...	
46482:16	i'm not sure what it is *t*-1 there.	###speakerb98.###oh sure.###speakera99.###i mean, i couldn't believe that she couldn't think of any place.###they said, 0 the, apparently the crime, is, just, uh,###speakerb100.###that's amazing,###well, wh-, what *t*-1's the difference there,###do you know?###speakera101.	what	no	what it is *t*-1 there	...what is a thing...	...what is every thing...	...what is the thing...	
82607:11	* seeing how you really are cre-, are, are forming this, you know, the mind *t*-1.	### i, i was aware, vaguely aware of it,###but, um, i didn't it wasn't really that important to me,###and, uh,...###speakerb143.###uh-huh,###it *ich*-1's amazing how your whole focus on life changes after you've had a child *t*-2.###speakera144.###oh, it, it really does,###i,###just the whole, uh, you know,	how	no	how you really are cre-, are, are forming this, you know, the mind *t*-1	...what is a way...	...what is every way...	...what is the way...	
14796:18	he goes, hey, how you doing *t*-1,	###speakerb72.###but the guy at the very top, the one who *t*-1's, who *t*-2's really making the millions and the millions is the one who *t*-3 also many times is part of the power structure, uh, the, uh, and had the political uh, pull to keep things from, uh, keep the interest or the emphasis in some other direction, other than on the drug dealing,###speakera73.###yeah.###speakerb74.###because it sure is monstrous in this country.###speakera75.###yeah,### i was, i was at a, at a party on saturday,###and this guy comes over,	how	no	hey, how you doing *t*-1	...what is a way...	...what is every way...	...what is the way...	
105042:18	i remember *-1 learning how * to ski *t*-2, oh,	###and if you didn't obey them, uh you know, there were a lot of accidents, i guess.###speakera3.###right.###speakerb4.###speakera5.###that's true.###speakerb6.###but, uh, i found 0 the motor boating was real fun.###speakera7.###yeah,	how	no	how * to ski *t*-2	...what is a way...	...what is every way...	...what is the way...	
135485:28	well and then, you think, well, how did they do it *t*-2 out in the real world anyway when these fish are in the tropicals or wherever they are *t*-1 *-4 kind of trying *-5 to keep up with that *t*-3,	###speakerb134.###survival of the fittest or something.###speakera135.###yes,###because if the baby is strong enough, it can swim away fast enough and go *-1 hide.###speakerb136.###right.###speakera137.###speakerb138.###go * hide from them,	how	no	well, how did they do it *t*-2 out in the real world anyway when these fish are in the tropicals or wherever they are *t*-1 *-4 kind of trying *-5 to keep up with that *t*-3	...what is a way...	...what is every way...	...what is the way...	
176749:52	we don't, we, we weren't sure how * to do that *t*-1	### that, that was fairly large undertaking.### a, a, it's a bedroom and a walk-in closet and a bathroom all on one side of the house.###speakera5.###* did the framing and all?###speakerb6.###oh, we did it all except for the sheetrocking.###speakera7.###huh.###speakerb8.###that was the only thing 0 we didn't, you know, * putting the ceiling up and things like that	how	no	how * to do that *t*-1	...what is a way...	...what is every way...	...what is the way...	
1130:56	and if that's gone, um, i, i really don't know how *-1 to live *t*-2 very well,	###i actually###for al-, of the time 0 i've spent *t*-1 there, i still don't quite understand how certain things that i assume 0 *t*-2 and require privacy and require not just that you be alone but actually that you have a sense of privacy *t*-3.###speakerb94.###yes.###speakera95.###because anyone can be alone for some period of time###but for me a lot of what i do *t*-1 requires a sense that there's this invisible barrier around me which people wil-, will respect *t*-2.###speakerb96.###yes.###speakera97.	how	no	how *-1 to live *t*-2 very well	...what is a way...	...what is every way...	...what is the way...	
168902:182	i was ju-, started *-1 to think about all the big, you know, data bases 0 they have *t*-2 with all the information about you on them like the credit reports and all those, you know, demographics studies that they do *t*-4 that, *t*-5 um, you know, have, who *t*-6 knows, how much, you know, stuff about all the purchases that you've made *t*-7 and everything *t*-3 kept tract *-8 somewhere	###speakera1.###so, uh, what things do you consider *t*-1 an invasion of privacy?###speakerb2.###ooh, well i don't know.###what do you think *t*-1?###speakera3.###oh, i don't know.###i had a little bit more time 0 *-1 to think about it *t*-2.###i was thinking of, like, uh,###i don't know,	who	no	who *t*-6 knows, how much, you know, stuff about all the purchases that you've made *t*-7 and everything *t*-3 kept tract *-8 somewhere	...who is a person...	...who is every person...	...who is the person...	
147683:11	i know who you're talking about *t*-1.	###i think 0 they're all scared *-1 out after tha-, after, uh,###oh, what was the lady's name that *t*-1 ran a couple of *t*-2,###fitz-,###i forget her name now.###speakerb84.###oh, i don't know.###speakera85.###but you know who i mean *t*-1?###speakerb86.###yeah,	who	no	who you're talking about *t*-1	...who is a person...	...who is every person...	...who is the person...	
112797:88	i can say that i think 0 my, my favorite spots are still * to go, *-1 to go where there's mountains and, and a lot of trees and, and wildlife 0 * to view *t*-2 *t*-3	###uh-huh.###speakera67.###speakerb68.###yeah,###i just, uh,### that, that does absolutely nothing for me.###speakera69.###uh-huh.###speakerb70.###but, uh, i don't know	where	no	where there's mountains and, and a lot of trees and, and wildlife 0 * to view *t*-2 *t*-3	...what is a place...	...what is every place...	...what is the place...	
153422:45	so, does, now do they want us to say where we feel *t*-1 about it, like in *-2 rating it one to ten.	###speakera15.###uh, in most states as long as you aren't a convicted felon. you know or on probation or, uh, you know, other obvious things like that.###speakerb16.###yeah.###speakera17.###uh, and i know, i know that like in a lot of states you could, you could be just like released *-1 from a mental hospital the day before. you know, be, be obviously insane,### and then, you, you know but * have your legal right * to get a gun.###speakerb18.###huh. i didn't know that.###well, that's pretty scary.	where	no	where we feel *t*-1 about it, like in *-2 rating it one to ten	...what is a place...	...what is every place...	...what is the place...	
70837:11	i see where the infrastructure *ich*-1 is sort of breaking down, the roads, the highways *t*-2.	###yeah,###well, uh, i'm, what i'm, uh, i guess uh, 0 it, concerned about *t*-1, * talking about the taxes in general,###and that, that was an area that i, i perceive *t*-1 as *-2 not being the best expenditure for the amount of dollar that we're taxed *-4 for *t*-3,###uh, in the area of defense,###or perhaps we have paid too much there,###i don't know,###it just seems to me that over the years, now, the,### and, and it's, it's a cliche,### i, i,###but i see it myself,	where	no	where the infrastructure *ich*-1 is sort of breaking down, the roads, the highways *t*-2	...what is a place...	...what is every place...	...what is the place...	
control_a_tissue	Do you want a tissue?	speakera. Your nose is running. speakerb. Oh yeah I didn't notice. speakera. 	none	no	Do you want a tissue?	A tissue…?	Every tissue…?	The tissue…?	
control_a_napkin	Can I hand you a napkin?	speakera. Oh no! I just spilled my spaghetti down my shirt. speakerb. Oh no.	none	no	Can I hand you a napkin?	A napkin…?	Every napkin…?	The napkin...?	
control_the_book	Did you return the book you borrowed?	speakera. Hey. speakerb. Hey what's up? speakera. I noticed a late fee from the library. 	none	no	Did you return the book you borrowed?	A book...?	Every book…?	The book...?	
control_the_movie	Can you text me the movie schedule?	speakera. What are you doing tonight? speakerb. Nothing what about you? Wanna grab a movie? speakerb. Sure but I don't have wifi right now. 	none	no	Can you text me the movie schedule?	A movie schedule...?	Every movie schedule…?	The movie schedule...?	
control_all_cookies	Did you grab all the cookies?	speakera. It's time to leave for the potluck.The car's almost packed. speakerb. 	none	no	Did you grab all the cookies?	A cookie...?	Every cookie…?	The cookie...?	
control_all_novels	Have you read all her novels?	speakera. I love Octavia Butler she's the best. speakerb. Yeah she's great. speakera.	none	no	Have you read all her novels?	An novel...?	Every novel…?	The novel...?	
